COMMUNICATION_ID,SUPPLIER_ID,COMMUNICATION_DATE,CHANNEL,SUBJECT,CONTENT
COM-0001,SUP-0102,2026-01-08 00:00:00,EMAIL,Approved pricing update,"Following our commercial review, the revised price for PO-000011 is 43239.48 GBP. The change is effective for open orders."
COM-0001B,SUP-0102,2026-01-11 00:00:00,EMAIL,ERP synchronization follow-up,Please note that the amended pricing for contract CON-0102 may not yet be visible in the ERP purchase order.
COM-0002,SUP-0037,2026-04-08 00:00:00,EMAIL,Pricing question,We have not approved any price change for PO-000021. Please continue billing against the existing purchase order.
COM-0002B,SUP-0037,2026-04-09 00:00:00,EMAIL,Invoice dispute,The invoice submitted for PO-000021 appears higher than our agreed amount. We cannot confirm the revised price referenced in the invoice.
COM-0003,SUP-0057,2026-04-07 00:00:00,EMAIL,Annual pricing adjustment,The annual negotiated adjustment under contract CON-0057 has been approved. New price basis is 59053.44 INR.
COM-0004,SUP-0024,2026-08-20 00:00:00,EMAIL,Invoice submission,Please process invoice INV-DUP-0004 against purchase order PO-000041.
COM-0005,SUP-0024,2026-08-10 00:00:00,EMAIL,Revised delivery commitment,Shipment SHP-000041-1 will arrive five days later due to a documented carrier delay. No change to the customer allocation is expected.
COM-0005B,SUP-0024,2026-08-11 00:00:00,EMAIL,Carrier confirmation,Carrier reference confirms the revised delivery estimate for shipment SHP-000041-1.
COM-0006,SUP-0053,2026-08-12 00:00:00,EMAIL,Delivery delay notice,Shipment SHP-000081-2 is delayed due to production constraints. Current estimate is eighteen days beyond the committed date.
COM-0007,SUP-0092,2026-08-15 00:00:00,EMAIL,Payment terms,"Our invoice requests accelerated payment for INV-000071, but the active contract remains on NET30 terms."
COM-0008,SUP-0076,2026-08-25 00:00:00,EMAIL,Customer quantity change,Customer requested a quantity change for order ORD-000116-2. Please confirm the final authorized quantity before fulfillment.
COM-0101,SUP-0120,2026-03-03 00:00:00,EMAIL,Quantity confirmation,Please provide an updated delivery estimate for the current order.
COM-0102,SUP-0049,2026-04-05 00:00:00,EMAIL,Delivery update,Please confirm the expected delivery date and carrier reference.
COM-0103,SUP-0003,2026-08-22 00:00:00,PORTAL,Account reconciliation,We are reviewing the current contract terms and will follow up if clarification is required.
COM-0104,SUP-0119,2026-04-19 00:00:00,PHONE_NOTE,Monthly statement,We are reviewing pricing for the next purchasing cycle.
COM-0105,SUP-0033,2026-02-10 00:00:00,PORTAL,Order status,Attached is the latest shipping documentation for your records.
COM-0106,SUP-0053,2026-07-05 00:00:00,PHONE_NOTE,Contract review,The shipment remains on the previously communicated schedule.
COM-0107,SUP-0026,2026-04-23 00:00:00,EMAIL,Invoice submission,Please confirm the current outstanding balance for our account.
COM-0108,SUP-0023,2026-03-30 00:00:00,PHONE_NOTE,Account reconciliation,We are reviewing the current contract terms and will follow up if clarification is required.
COM-0109,SUP-0104,2026-03-13 00:00:00,PORTAL,Account reconciliation,Please confirm the current outstanding balance for our account.
COM-0110,SUP-0091,2026-04-30 00:00:00,EMAIL,Pricing discussion,We are reviewing pricing for the next purchasing cycle.
COM-0111,SUP-0020,2026-04-02 00:00:00,EMAIL,Delivery update,Please provide the required quality documentation for the shipment.
COM-0112,SUP-0073,2026-04-07 00:00:00,EMAIL,Pricing discussion,Please confirm the current outstanding balance for our account.
COM-0113,SUP-0061,2026-04-12 00:00:00,EMAIL,Invoice submission,Invoice INV-003846 has been submitted for processing against PO-003846.
COM-0114,SUP-0081,2026-07-18 00:00:00,EMAIL,Delivery schedule,We are reviewing the current contract terms and will follow up if clarification is required.
COM-0115,SUP-0090,2026-05-11 00:00:00,EMAIL,Monthly statement,Attached is the latest shipping documentation for your records.
COM-0116,SUP-0080,2026-05-12 00:00:00,PORTAL,Monthly statement,Please confirm receipt of purchase order PO-003923.
COM-0117,SUP-0065,2026-07-23 00:00:00,EMAIL,Invoice submission,Please send the latest forecast for the upcoming delivery period.
COM-0118,SUP-0007,2026-08-31 00:00:00,EMAIL,Delivery update,Please provide the required quality documentation for the shipment.
COM-0119,SUP-0043,2026-07-02 00:00:00,EMAIL,Quality documentation,Our accounts team is reconciling recent transactions.
COM-0120,SUP-0023,2026-04-21 00:00:00,PORTAL,Delivery schedule,Please confirm the expected delivery date and carrier reference.
COM-0121,SUP-0047,2026-10-17 00:00:00,PHONE_NOTE,Monthly statement,Please provide the required quality documentation for the shipment.
COM-0122,SUP-0114,2026-07-06 00:00:00,PHONE_NOTE,Payment reminder,Please confirm whether the requested quantity remains unchanged.
COM-0123,SUP-0099,2026-02-12 00:00:00,EMAIL,Delivery schedule,Invoice INV-000051 has been submitted for processing against PO-000051.
COM-0124,SUP-0047,2026-05-08 00:00:00,PORTAL,Delivery schedule,Please confirm whether the requested quantity remains unchanged.
COM-0125,SUP-0041,2026-10-27 00:00:00,EMAIL,Delivery update,Please provide the required quality documentation for the shipment.
COM-0126,SUP-0069,2026-06-23 00:00:00,PORTAL,Monthly statement,Please provide an updated delivery estimate for the current order.
