EXCEPTION_ID,DETECTED_AT,EXCEPTION_TYPE,ENTITY_TYPE,ENTITY_ID,SEVERITY,STATUS,DESCRIPTION
EXC-0001,2026-09-17 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-000011,MEDIUM,OPEN,Invoice exceeds PO amount by 8%.
EXC-0002,2026-09-11 00:00:00,INVOICE_PO_MISMATCH,INVOICE,INV-000021,HIGH,OPEN,Invoice amount materially exceeds PO amount with no approved amendment.
EXC-0003,2026-09-17 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-000031,MEDIUM,OPEN,PO price differs from current contract price.
EXC-0004,2026-09-11 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-DUP-0004,HIGH,OPEN,"Invoice duplicates an existing invoice by supplier, PO and amount."
EXC-0005,2026-09-11 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-000041-1,MEDIUM,OPEN,Shipment is five days beyond committed delivery date.
EXC-0006,2026-09-12 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-000081-2,HIGH,OPEN,Shipment is materially late and affects downstream customer commitments.
EXC-0007,2026-09-12 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-000071,HIGH,OPEN,Payment terms conflict with the active contract policy.
EXC-0008,2026-09-11 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-000116-2,MEDIUM,OPEN,Customer and ERP records contain conflicting order state.
EXC-0009,2026-09-13 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-003046,LOW,OPEN,Invoice payment conditions violate policy.
EXC-0010,2026-09-15 00:00:00,SHIPMENT_DELAY,SHIPMENT,SHP-001525-1,MEDIUM,OPEN,Shipment missed committed delivery date.
EXC-0011,2026-09-12 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-001703-2,MEDIUM,OPEN,Order records contain conflicting state.
EXC-0012,2026-09-12 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-003713,MEDIUM,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0013,2026-09-10 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-004061,LOW,OPEN,Purchase order price differs from current contractual pricing.
EXC-0014,2026-09-13 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-001922,HIGH,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0015,2026-09-10 00:00:00,DUPLICATE_INVOICE,INVOICE,INV-002702,LOW,OPEN,"Invoice shares supplier, PO and amount with another invoice."
EXC-0016,2026-09-14 00:00:00,CONTRACT_PRICE_DRIFT,PURCHASE_ORDER,PO-003030,HIGH,OPEN,Purchase order price differs from current contractual pricing.
EXC-0017,2026-09-17 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-004402,MEDIUM,OPEN,Invoice payment conditions violate policy.
EXC-0018,2026-09-13 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-001613-2,LOW,OPEN,Order records contain conflicting state.
EXC-0019,2026-09-13 00:00:00,ORDER_DATA_CONFLICT,ORDER,ORD-002407-1,LOW,OPEN,Order records contain conflicting state.
EXC-0020,2026-09-11 00:00:00,PAYMENT_POLICY_VIOLATION,INVOICE,INV-003222,MEDIUM,OPEN,Invoice payment conditions violate policy.
