AUDIT_ID,EXCEPTION_ID,TIMESTAMP,STAGE,AGENT,ACTION,DECISION,REASON,EVIDENCE
AUD-EXC-0001,EXC-0001,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice exceeds PO amount by 8%.
AUD-EXC-0002,EXC-0002,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount materially exceeds PO amount with no approved amendment.
AUD-EXC-0003,EXC-0003,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,PO price differs from current contract price.
AUD-EXC-0004,EXC-0004,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice duplicates an existing invoice by supplier, PO and amount."
AUD-EXC-0005,EXC-0005,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment is five days beyond committed delivery date.
AUD-EXC-0006,EXC-0006,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment is materially late and affects downstream customer commitments.
AUD-EXC-0007,EXC-0007,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Payment terms conflict with the active contract policy.
AUD-EXC-0008,EXC-0008,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Customer and ERP records contain conflicting order state.
AUD-EXC-0009,EXC-0009,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0010,EXC-0010,2026-09-15 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0011,EXC-0011,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0012,EXC-0012,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0013,EXC-0013,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0014,EXC-0014,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0015,EXC-0015,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0016,EXC-0016,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0017,EXC-0017,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0018,EXC-0018,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0019,EXC-0019,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0020,EXC-0020,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0021,EXC-0021,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0022,EXC-0022,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0023,EXC-0023,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 8%.
AUD-EXC-0024,EXC-0024,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0025,EXC-0025,2026-09-15 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0026,EXC-0026,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 12%.
AUD-EXC-0027,EXC-0027,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 7%.
AUD-EXC-0028,EXC-0028,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0029,EXC-0029,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0030,EXC-0030,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0031,EXC-0031,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0032,EXC-0032,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0033,EXC-0033,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0034,EXC-0034,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0035,EXC-0035,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0036,EXC-0036,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 8%.
AUD-EXC-0037,EXC-0037,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0038,EXC-0038,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0039,EXC-0039,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 7%.
AUD-EXC-0040,EXC-0040,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0041,EXC-0041,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0042,EXC-0042,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0043,EXC-0043,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0044,EXC-0044,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 7%.
AUD-EXC-0045,EXC-0045,2026-09-15 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0046,EXC-0046,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0047,EXC-0047,2026-09-15 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0048,EXC-0048,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0049,EXC-0049,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0050,EXC-0050,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0051,EXC-0051,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0052,EXC-0052,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0053,EXC-0053,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0054,EXC-0054,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 11%.
AUD-EXC-0055,EXC-0055,2026-09-15 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 7%.
AUD-EXC-0056,EXC-0056,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
AUD-EXC-0057,EXC-0057,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0058,EXC-0058,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 11%.
AUD-EXC-0059,EXC-0059,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 19%.
AUD-EXC-0060,EXC-0060,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0061,EXC-0061,2026-09-12 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0062,EXC-0062,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0063,EXC-0063,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0064,EXC-0064,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0065,EXC-0065,2026-09-17 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0066,EXC-0066,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0067,EXC-0067,2026-09-11 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice payment conditions violate policy.
AUD-EXC-0068,EXC-0068,2026-09-14 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,"Invoice shares supplier, PO and amount with another invoice."
AUD-EXC-0069,EXC-0069,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Invoice amount differs from PO amount by 12%.
AUD-EXC-0070,EXC-0070,2026-09-16 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Shipment missed committed delivery date.
AUD-EXC-0071,EXC-0071,2026-09-10 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Order records contain conflicting state.
AUD-EXC-0072,EXC-0072,2026-09-13 00:00:00,DETECTION,exception_detector,CREATE_EXCEPTION,OPEN,Rule-based exception detected.,Purchase order price differs from current contractual pricing.
